Tool_Type,Brand,Tool_Age_Days,Days_Since_Last_Cal,Total_Checkouts,Total_Usage_Hours,Avg_Duration_Hours,Unique_Users,Past_Failures,Env_Stress_Index,Criticality_Score,Maintenance_Cost,Label_Recommended_Days_Until_Cal
Pneumatic Drill,Facom,1289,229,479,1621.7,3.4,110,1,88,3,278.9,5
Hydraulic Pump,Makita,321,321,34,128.9,3.8,7,0,58,2,32.1,13
Pneumatic Drill,Facom,1209,8,89,217.1,2.4,49,1,74,3,270.9,166
Multimeter,Fluke,1387,92,59,489.9,8.3,45,1,3,2,288.7,71
Hydraulic Pump,Fluke,949,361,22,124.4,5.7,16,2,54,2,394.9,5
Multimeter,Bosch,829,260,92,545.9,5.9,22,0,21,2,82.9,-8
Digital Torque Wrench,Makita,559,239,176,543.5,3.1,124,0,21,5,55.9,10
Hydraulic Pump,Snap-on,1393,360,81,232.1,2.9,61,0,96,2,139.3,4
Pneumatic Drill,Makita,85,329,51,330.4,6.5,39,0,97,3,8.5,13
Digital Torque Wrench,Bosch,605,23,90,330.6,3.7,58,0,64,5,60.5,166
Digital Torque Wrench,Bosch,1224,97,141,502.9,3.6,74,1,45,5,272.4,46
Digital Torque Wrench,Makita,918,308,187,389.9,2.1,102,2,66,5,391.8,10
Hydraulic Pump,Bosch,487,337,39,422.8,10.8,24,0,2,2,48.7,21
Borescope,Snap-on,643,298,126,803.8,6.4,34,0,24,2,64.3,20
Multimeter,Bosch,1697,96,53,545.6,10.3,20,2,38,2,469.7,43
Borescope,Fluke,1206,216,62,382.8,6.2,28,0,55,2,120.6,-2
Digital Torque Wrench,Makita,779,211,105,145.0,1.4,22,1,0,5,227.9,18
Multimeter,Makita,756,311,81,719.2,8.9,42,2,31,2,375.6,8
Pneumatic Drill,Bosch,169,22,424,2555.3,6.0,161,1,108,3,166.9,112
Pneumatic Drill,Makita,212,219,185,1173.5,6.3,91,1,91,3,171.2,20
Borescope,Fluke,1795,242,29,335.8,11.6,9,1,25,2,329.5,8
Hydraulic Pump,Makita,545,343,133,268.0,2.0,83,0,88,2,54.5,8
Digital Torque Wrench,Snap-on,1080,26,21,21.2,1.0,9,2,38,5,408.0,148
Hydraulic Pump,Bosch,502,47,107,225.2,2.1,32,1,69,2,200.2,145
Pneumatic Drill,Bosch,1035,97,263,588.8,2.2,89,0,117,3,103.5,2
Hydraulic Pump,Facom,371,45,115,547.3,4.8,72,0,45,2,37.1,107
Pneumatic Drill,Snap-on,867,62,380,3026.0,8.0,212,1,64,3,236.7,74
Pneumatic Drill,Fluke,1612,331,112,280.6,2.5,30,3,48,3,611.2,13
Multimeter,Facom,736,341,146,1645.2,11.3,56,0,77,2,73.6,-4
Multimeter,Snap-on,91,76,132,553.7,4.2,68,0,58,2,9.1,82
Digital Torque Wrench,Bosch,1479,189,83,292.3,3.5,18,0,24,5,147.9,-7
Multimeter,Fluke,246,338,18,46.4,2.6,12,0,62,2,24.6,1
Borescope,Facom,1228,25,129,1001.7,7.8,72,0,47,2,122.8,120
Borescope,Makita,1397,310,13,136.1,10.5,7,1,7,2,289.7,11
Hydraulic Pump,Makita,1687,253,41,469.6,11.5,19,0,99,2,168.7,6
Borescope,Makita,1356,326,25,131.0,5.2,18,1,58,2,285.6,-1
Borescope,Snap-on,358,95,122,1328.8,10.9,44,2,69,2,335.8,63
Multimeter,Bosch,60,70,125,272.4,2.2,85,0,61,2,6.0,97
Borescope,Fluke,655,154,37,312.5,8.4,10,2,14,2,365.5,19
Hydraulic Pump,Fluke,1001,209,69,115.9,1.7,34,0,25,2,100.1,12
Multimeter,Makita,284,270,47,260.6,5.5,34,0,45,2,28.4,-4
Digital Torque Wrench,Facom,1762,19,25,72.3,2.9,6,0,100,5,176.2,131
Pneumatic Drill,Facom,270,335,417,1613.0,3.9,118,1,85,3,177.0,22
Hydraulic Pump,Facom,995,97,118,975.5,8.3,31,0,28,2,99.5,46
Borescope,Bosch,928,206,132,940.9,7.1,51,2,78,2,392.8,-5
Multimeter,Fluke,474,305,75,673.4,9.0,52,1,49,2,197.4,18
Hydraulic Pump,Bosch,212,259,135,838.6,6.2,59,1,10,2,171.2,-2
Digital Torque Wrench,Snap-on,617,358,21,35.0,1.7,11,0,53,5,61.7,0
Multimeter,Fluke,813,58,26,205.4,7.9,6,2,37,2,381.3,107
Borescope,Bosch,104,250,71,176.6,2.5,23,0,42,2,10.4,18
Pneumatic Drill,Bosch,1151,286,270,1713.4,6.3,93,2,101,3,415.1,18
Hydraulic Pump,Bosch,889,212,125,889.1,7.1,62,0,74,2,88.9,10
Hydraulic Pump,Snap-on,224,102,20,188.5,9.4,9,0,84,2,22.4,53
Multimeter,Makita,1395,168,122,142.3,1.2,94,2,43,2,439.5,-7
Multimeter,Makita,1213,44,48,208.4,4.3,29,0,48,2,121.3,113
Digital Torque Wrench,Bosch,1697,258,46,118.4,2.6,19,2,23,5,469.7,17
Digital Torque Wrench,Facom,127,326,66,80.0,1.2,37,0,21,5,12.7,-2
Multimeter,Facom,272,77,67,451.8,6.7,43,1,37,2,177.2,105
Multimeter,Fluke,86,344,37,181.3,4.9,24,1,59,2,158.6,11
Digital Torque Wrench,Facom,1488,238,183,297.0,1.6,65,0,6,5,148.8,7
Borescope,Snap-on,977,77,23,152.9,6.6,5,2,33,2,397.7,98
Borescope,Facom,1657,181,126,1037.9,8.2,88,1,99,2,315.7,5
Multimeter,Snap-on,1725,207,35,74.5,2.1,7,0,43,2,172.5,15
Multimeter,Bosch,1501,304,12,130.5,10.9,9,1,94,2,300.1,15
Borescope,Fluke,636,48,91,762.2,8.4,40,2,39,2,363.6,110
Pneumatic Drill,Facom,159,276,397,844.7,2.1,181,0,55,3,15.9,-3
Hydraulic Pump,Bosch,1818,109,17,150.7,8.9,10,0,98,2,181.8,36
Digital Torque Wrench,Snap-on,35,108,58,155.3,2.7,16,1,31,5,153.5,80
Digital Torque Wrench,Makita,133,31,52,147.0,2.8,20,2,31,5,313.3,161
Digital Torque Wrench,Snap-on,1323,237,78,142.1,1.8,19,2,49,5,432.3,1
Borescope,Snap-on,1564,145,113,690.5,6.1,57,2,34,2,456.4,13
Multimeter,Bosch,1546,171,133,155.1,1.2,91,0,51,2,154.6,2
Pneumatic Drill,Bosch,1421,351,315,1380.4,4.4,175,2,59,3,442.1,13
Hydraulic Pump,Facom,1341,212,104,1051.7,10.1,48,0,25,2,134.1,0
Pneumatic Drill,Facom,189,19,476,2493.2,5.2,183,2,43,3,318.9,130
Multimeter,Fluke,778,219,37,192.4,5.2,17,1,1,2,227.8,22
Hydraulic Pump,Makita,1038,159,121,403.6,3.3,72,1,37,2,253.8,13
Multimeter,Makita,955,308,146,636.8,4.4,80,1,22,2,245.5,-1
Multimeter,Bosch,1658,128,143,591.9,4.1,87,2,98,2,465.8,-7
Digital Torque Wrench,Makita,622,111,24,59.3,2.5,18,1,82,5,212.2,59
Digital Torque Wrench,Facom,906,263,135,402.2,3.0,61,2,24,5,390.6,-6
Multimeter,Facom,336,18,110,1029.0,9.4,23,0,2,2,33.6,125
Hydraulic Pump,Makita,880,332,96,672.9,7.0,30,1,37,2,238.0,4
Hydraulic Pump,Bosch,828,97,95,334.1,3.5,19,0,82,2,82.8,67
Pneumatic Drill,Snap-on,733,362,477,3779.3,7.9,220,0,23,3,73.3,3
Pneumatic Drill,Snap-on,92,358,241,1648.7,6.8,156,1,81,3,159.2,-6
Hydraulic Pump,Fluke,1470,149,43,487.1,11.3,32,2,30,2,447.0,-1
Multimeter,Facom,1550,111,27,302.7,11.2,6,2,43,2,455.0,50
Pneumatic Drill,Makita,260,348,195,551.6,2.8,142,1,96,3,176.0,-5
Digital Torque Wrench,Fluke,188,139,194,412.8,2.1,66,0,62,5,18.8,42
Pneumatic Drill,Makita,1351,171,473,2599.0,5.5,173,2,44,3,435.1,4
Digital Torque Wrench,Fluke,552,348,145,340.7,2.3,74,1,54,5,205.2,22
Borescope,Makita,1498,237,21,202.3,9.6,15,2,39,2,449.8,18
Multimeter,Facom,1013,209,106,819.7,7.7,75,1,50,2,251.3,6
Pneumatic Drill,Makita,475,154,483,3816.9,7.9,193,1,105,3,197.5,18
Pneumatic Drill,Facom,191,4,453,1798.2,4.0,258,2,49,3,319.1,134
Hydraulic Pump,Snap-on,970,101,149,1224.3,8.2,52,0,61,2,97.0,35
Multimeter,Fluke,285,237,122,179.9,1.5,28,0,32,2,28.5,9
Multimeter,Snap-on,614,357,68,159.6,2.3,52,1,14,2,211.4,10
Pneumatic Drill,Bosch,293,212,307,1966.5,6.4,153,3,30,3,479.3,1
Borescope,Facom,1722,277,46,336.2,7.3,21,2,56,2,472.2,7
Hydraulic Pump,Makita,1545,91,57,376.5,6.6,45,2,22,2,454.5,66
Hydraulic Pump,Snap-on,1093,11,128,1281.1,10.0,82,1,58,2,259.3,111
Hydraulic Pump,Makita,69,193,12,97.4,8.1,3,2,73,2,306.9,14
Hydraulic Pump,Bosch,1544,359,146,540.2,3.7,93,1,92,2,304.4,-6
Multimeter,Fluke,1251,315,56,224.2,4.0,21,2,31,2,425.1,21
Pneumatic Drill,Makita,367,136,342,860.0,2.5,273,1,44,3,186.7,6
Pneumatic Drill,Fluke,1191,66,446,1184.2,2.7,292,1,47,3,269.1,68
Digital Torque Wrench,Fluke,728,209,68,136.8,2.0,30,0,33,5,72.8,-3
Digital Torque Wrench,Bosch,1141,323,150,347.5,2.3,61,1,93,5,264.1,2
Pneumatic Drill,Bosch,1624,182,126,395.1,3.1,78,5,27,3,912.4,16
Borescope,Bosch,238,307,74,446.4,6.0,55,0,21,2,23.8,1
Digital Torque Wrench,Fluke,1528,362,103,199.0,1.9,45,4,42,5,752.8,11
Hydraulic Pump,Snap-on,1030,167,108,1270.6,11.8,75,0,2,2,103.0,-3
Pneumatic Drill,Snap-on,1183,254,64,497.9,7.8,43,2,101,3,418.3,-3
Borescope,Facom,1151,111,28,290.3,10.4,17,2,93,2,415.1,41
Multimeter,Makita,459,119,51,300.5,5.9,10,1,90,2,195.9,55
Multimeter,Makita,594,185,81,435.0,5.4,50,1,26,2,209.4,19
Hydraulic Pump,Fluke,291,200,16,152.0,9.5,8,0,31,2,29.1,12
Borescope,Makita,91,91,150,1178.9,7.9,91,0,36,2,9.1,46
Pneumatic Drill,Snap-on,778,271,121,501.7,4.1,87,0,32,3,77.8,0
Pneumatic Drill,Snap-on,1657,86,382,2730.7,7.1,218,1,105,3,315.7,29
Hydraulic Pump,Bosch,145,157,105,331.5,3.2,81,0,29,2,14.5,22
Multimeter,Fluke,1652,349,64,255.1,4.0,31,0,49,2,165.2,17
Pneumatic Drill,Makita,452,4,227,1742.0,7.7,85,1,31,3,195.2,133
Multimeter,Fluke,1791,265,12,58.5,4.9,8,0,55,2,179.1,0
Hydraulic Pump,Snap-on,509,79,63,524.1,8.3,37,0,69,2,50.9,70
Pneumatic Drill,Snap-on,147,245,182,781.5,4.3,102,2,61,3,314.7,13
Digital Torque Wrench,Bosch,858,109,97,62.3,0.6,25,1,23,5,235.8,57
Hydraulic Pump,Fluke,948,73,97,583.9,6.0,64,0,38,2,94.8,66
Hydraulic Pump,Snap-on,1052,329,142,919.9,6.5,78,0,9,2,105.2,21
Digital Torque Wrench,Snap-on,832,70,111,274.1,2.5,87,1,47,5,233.2,103
Hydraulic Pump,Makita,727,226,83,923.4,11.1,53,0,62,2,72.7,6
Pneumatic Drill,Makita,39,160,399,840.4,2.1,176,0,103,3,3.9,5
Pneumatic Drill,Snap-on,35,262,288,1500.7,5.2,113,0,93,3,3.5,-6
Multimeter,Snap-on,674,290,144,1400.3,9.7,111,1,51,2,217.4,17
Borescope,Bosch,378,58,75,816.7,10.9,40,1,39,2,187.8,102
Hydraulic Pump,Snap-on,1354,23,60,163.1,2.7,28,2,80,2,435.4,139
Multimeter,Fluke,167,220,100,749.8,7.5,29,0,97,2,16.7,-8
Digital Torque Wrench,Makita,679,264,189,575.7,3.0,129,1,15,5,217.9,21
Pneumatic Drill,Makita,230,12,430,2972.2,6.9,99,0,53,3,23.0,147
Borescope,Snap-on,1315,227,116,214.2,1.8,42,4,45,2,731.5,4
Multimeter,Bosch,187,268,84,650.1,7.7,44,0,97,2,18.7,21
Hydraulic Pump,Makita,1024,216,46,330.8,7.2,9,1,60,2,252.4,8
Hydraulic Pump,Snap-on,1402,162,117,1207.8,10.3,92,1,27,2,290.2,0
Borescope,Snap-on,1669,106,24,204.7,8.5,17,2,74,2,466.9,49
Digital Torque Wrench,Snap-on,1772,44,129,135.3,1.0,82,1,40,5,327.2,118
Multimeter,Makita,1623,105,14,48.9,3.5,10,1,79,2,312.3,47
Borescope,Snap-on,273,344,40,316.3,7.9,20,1,55,2,177.3,10
Digital Torque Wrench,Fluke,1265,69,23,79.7,3.5,14,0,33,5,126.5,82
Borescope,Facom,119,200,128,487.1,3.8,40,0,71,2,11.9,6
Pneumatic Drill,Makita,1544,218,50,272.6,5.5,19,2,27,3,454.4,2
Borescope,Bosch,601,280,11,120.9,11.0,3,2,2,2,360.1,0
Hydraulic Pump,Makita,1159,325,100,1117.0,11.2,67,1,59,2,265.9,10
Pneumatic Drill,Facom,887,69,436,3343.1,7.7,345,1,61,3,238.7,69
Borescope,Fluke,1329,151,13,48.5,3.7,5,2,90,2,432.9,-6
Multimeter,Bosch,1488,18,148,302.3,2.0,74,1,64,2,298.8,146
Hydraulic Pump,Bosch,483,113,34,230.6,6.8,7,0,44,2,48.3,62
Borescope,Snap-on,589,231,119,205.5,1.7,50,0,25,2,58.9,-8
Hydraulic Pump,Bosch,1420,315,80,292.1,3.7,55,0,84,2,142.0,20
Pneumatic Drill,Facom,573,268,460,2154.8,4.7,238,0,52,3,57.3,-4
Borescope,Bosch,737,332,139,532.1,3.8,85,1,41,2,223.7,13
Pneumatic Drill,Facom,1036,96,72,399.5,5.5,56,0,51,3,103.6,50
Multimeter,Makita,1156,206,136,772.9,5.7,86,0,53,2,115.6,16
Hydraulic Pump,Snap-on,763,71,133,1495.5,11.2,29,1,75,2,226.3,89
Digital Torque Wrench,Fluke,1349,120,129,397.1,3.1,46,2,74,5,434.9,49
Hydraulic Pump,Facom,296,270,27,204.6,7.6,9,0,0,2,29.6,0
Digital Torque Wrench,Facom,431,80,45,64.1,1.4,11,1,71,5,193.1,95
Multimeter,Snap-on,308,300,104,1071.5,10.3,66,0,23,2,30.8,-2
Hydraulic Pump,Facom,1307,40,85,196.4,2.3,44,1,58,2,280.7,109
Borescope,Bosch,1539,280,61,272.1,4.5,23,2,95,2,453.9,6
Hydraulic Pump,Makita,1007,183,114,895.5,7.9,87,2,62,2,400.7,-6
Borescope,Bosch,1720,226,63,215.1,3.4,24,0,15,2,172.0,20
Multimeter,Facom,163,226,10,96.1,9.6,2,1,45,2,166.3,9
Borescope,Makita,662,91,10,94.9,9.5,6,0,48,2,66.2,100
Pneumatic Drill,Makita,916,75,318,1913.0,6.0,163,2,29,3,391.6,70
Pneumatic Drill,Makita,1382,234,388,2704.5,7.0,185,1,34,3,288.2,5
Pneumatic Drill,Bosch,1637,154,68,469.4,6.9,26,0,103,3,163.7,1
Digital Torque Wrench,Facom,1024,2,196,291.8,1.5,83,0,18,5,102.4,153
Pneumatic Drill,Snap-on,1048,265,89,206.5,2.3,38,1,61,3,254.8,14
Digital Torque Wrench,Bosch,880,329,140,485.9,3.5,89,0,45,5,88.0,14
Pneumatic Drill,Bosch,1727,251,50,267.8,5.4,14,1,78,3,322.7,14
Multimeter,Snap-on,272,1,135,606.9,4.5,55,0,52,2,27.2,159
Borescope,Makita,1727,266,83,382.3,4.6,45,1,6,2,322.7,-6
Pneumatic Drill,Facom,1047,113,249,803.3,3.2,140,1,95,3,254.7,10
Borescope,Makita,548,152,56,59.1,1.1,13,0,70,2,54.8,39
Borescope,Fluke,1587,56,86,761.3,8.9,38,1,57,2,308.7,68
Digital Torque Wrench,Snap-on,773,6,20,49.7,2.5,7,0,67,5,77.3,188
Hydraulic Pump,Facom,223,73,107,849.8,7.9,74,0,71,2,22.3,69
Digital Torque Wrench,Fluke,402,146,114,351.4,3.1,22,1,32,5,190.2,19
Hydraulic Pump,Snap-on,82,81,110,792.7,7.2,40,1,91,2,158.2,49
Pneumatic Drill,Bosch,1331,274,156,1222.2,7.8,31,0,25,3,133.1,4
Digital Torque Wrench,Fluke,868,1,43,111.1,2.6,15,0,20,5,86.8,168
Digital Torque Wrench,Facom,202,110,169,564.3,3.3,53,0,52,5,20.2,27
Digital Torque Wrench,Facom,1771,268,30,82.4,2.7,15,0,20,5,177.1,14
Borescope,Snap-on,948,15,62,544.4,8.8,29,0,51,2,94.8,131
Pneumatic Drill,Snap-on,829,37,496,3916.8,7.9,295,1,58,3,232.9,125
Digital Torque Wrench,Facom,247,321,30,114.7,3.8,14,0,38,5,24.7,3
Borescope,Bosch,478,295,122,471.8,3.9,64,1,92,2,197.8,10
Digital Torque Wrench,Snap-on,1763,139,52,98.9,1.9,37,0,83,5,176.3,0
Digital Torque Wrench,Facom,180,236,144,95.8,0.7,55,1,97,5,168.0,0
Multimeter,Facom,591,270,75,324.8,4.3,49,0,28,2,59.1,-5
Pneumatic Drill,Snap-on,676,99,344,1393.2,4.0,210,1,40,3,217.6,59
Digital Torque Wrench,Snap-on,1388,81,184,397.2,2.2,115,0,100,5,138.8,65
Hydraulic Pump,Snap-on,979,320,125,624.8,5.0,56,0,25,2,97.9,22
Hydraulic Pump,Makita,1334,235,85,306.8,3.6,36,0,22,2,133.4,21
Digital Torque Wrench,Fluke,1333,87,47,76.6,1.6,36,1,92,5,283.3,65
Borescope,Fluke,573,243,48,498.0,10.4,10,2,5,2,357.3,8
Digital Torque Wrench,Facom,1817,336,188,377.6,2.0,88,0,73,5,181.7,22
Pneumatic Drill,Snap-on,299,77,361,1917.8,5.3,175,0,84,3,29.9,49
Multimeter,Bosch,929,27,82,138.4,1.7,40,1,65,2,242.9,145
Pneumatic Drill,Makita,416,294,300,2157.5,7.2,107,2,40,3,341.6,11
Hydraulic Pump,Snap-on,158,258,34,84.7,2.5,24,1,10,2,165.8,10
Pneumatic Drill,Fluke,1507,223,428,2896.7,6.8,238,2,75,3,450.7,-5
Borescope,Makita,312,333,14,31.7,2.3,3,1,92,2,181.2,14
Multimeter,Makita,485,271,31,270.3,8.7,13,1,14,2,198.5,0
Borescope,Makita,1763,188,112,499.6,4.5,72,1,45,2,326.3,-8
Pneumatic Drill,Makita,780,291,394,1660.4,4.2,143,2,67,3,378.0,2
Borescope,Makita,203,341,106,288.9,2.7,32,0,9,2,20.3,4
Borescope,Snap-on,429,167,20,184.1,9.2,14,0,73,2,42.9,17
Digital Torque Wrench,Makita,469,292,160,222.0,1.4,54,1,94,5,196.9,8
Hydraulic Pump,Fluke,1458,247,137,1108.7,8.1,72,3,68,2,595.8,21
Borescope,Makita,406,236,149,541.6,3.6,75,0,85,2,40.6,1
Hydraulic Pump,Bosch,1643,319,12,82.2,6.9,7,3,81,2,614.3,18
Hydraulic Pump,Makita,1749,354,128,448.9,3.5,37,0,64,2,174.9,15
Borescope,Facom,548,185,109,454.1,4.2,86,0,12,2,54.8,21
Pneumatic Drill,Facom,398,131,131,866.7,6.6,70,0,67,3,39.8,5
Multimeter,Facom,1236,117,15,149.5,10.0,6,1,71,2,273.6,49
Multimeter,Bosch,1180,239,81,762.5,9.4,44,0,49,2,118.0,15
Multimeter,Facom,787,106,98,358.3,3.7,75,1,5,2,228.7,78
Hydraulic Pump,Fluke,1563,302,44,291.9,6.6,25,0,30,2,156.3,2
Digital Torque Wrench,Makita,1805,253,35,127.7,3.6,24,2,50,5,480.5,2
Multimeter,Facom,979,211,83,980.9,11.8,42,0,20,2,97.9,11
Multimeter,Snap-on,1677,265,135,1523.6,11.3,64,0,93,2,167.7,21
Digital Torque Wrench,Facom,999,328,60,137.9,2.3,14,0,63,5,99.9,1
Pneumatic Drill,Snap-on,1012,46,344,1883.6,5.5,202,1,45,3,251.2,94
Digital Torque Wrench,Bosch,489,152,87,98.9,1.1,33,1,19,5,198.9,30
Multimeter,Fluke,234,331,123,842.9,6.9,78,0,17,2,23.4,15
Digital Torque Wrench,Fluke,655,216,68,176.6,2.6,26,2,67,5,365.5,12
Borescope,Facom,536,262,113,1090.4,9.6,72,0,6,2,53.6,-4
Multimeter,Fluke,921,53,103,880.1,8.5,22,0,52,2,92.1,102
Hydraulic Pump,Bosch,712,364,42,428.1,10.2,18,1,29,2,221.2,1
Multimeter,Fluke,1623,231,138,1189.9,8.6,35,0,48,2,162.3,-1
Multimeter,Fluke,1774,294,137,795.9,5.8,92,0,57,2,177.4,1
Borescope,Fluke,904,123,49,580.1,11.8,18,1,43,2,240.4,15
Digital Torque Wrench,Bosch,1187,330,74,229.4,3.1,31,2,40,5,418.7,18
Digital Torque Wrench,Facom,1187,140,186,171.7,0.9,85,0,1,5,118.7,34
Digital Torque Wrench,Snap-on,1275,265,48,75.4,1.6,30,0,94,5,127.5,-5
Multimeter,Facom,285,187,79,645.6,8.2,17,0,81,2,28.5,4
Pneumatic Drill,Fluke,1161,54,334,1744.0,5.2,226,3,115,3,566.1,11
Multimeter,Facom,1008,23,62,682.0,11.0,42,1,57,2,250.8,121
Borescope,Facom,752,350,94,469.0,5.0,22,0,71,2,75.2,4
Pneumatic Drill,Makita,390,272,67,140.4,2.1,18,2,65,3,339.0,20
Multimeter,Facom,379,245,70,808.1,11.5,46,0,8,2,37.9,13
Borescope,Snap-on,169,77,140,1093.2,7.8,95,0,16,2,16.9,83
Pneumatic Drill,Facom,1260,41,360,2824.2,7.8,281,2,76,3,426.0,95
Hydraulic Pump,Snap-on,674,114,38,126.1,3.3,28,0,78,2,67.4,71
Hydraulic Pump,Snap-on,1405,350,26,303.7,11.7,13,0,91,2,140.5,-6
Pneumatic Drill,Bosch,1770,77,306,1085.1,3.5,167,2,53,3,477.0,40
Multimeter,Bosch,1039,294,68,380.8,5.6,48,2,67,2,403.9,-5
Pneumatic Drill,Makita,1075,277,229,846.5,3.7,110,0,100,3,107.5,-6
Hydraulic Pump,Facom,674,312,41,244.6,6.0,19,0,50,2,67.4,9
Digital Torque Wrench,Bosch,670,103,94,236.9,2.5,33,1,69,5,217.0,67
Borescope,Bosch,576,39,135,972.9,7.2,95,0,81,2,57.6,76
Multimeter,Facom,925,82,115,922.0,8.0,54,0,85,2,92.5,63
Pneumatic Drill,Facom,1049,348,378,1400.9,3.7,212,2,50,3,404.9,13
Hydraulic Pump,Snap-on,332,93,46,88.2,1.9,16,0,38,2,33.2,83
Borescope,Facom,634,138,86,127.9,1.5,66,0,62,2,63.4,42
Multimeter,Facom,508,23,150,463.3,3.1,84,0,56,2,50.8,166
Hydraulic Pump,Fluke,495,153,82,127.7,1.6,62,2,40,2,349.5,38
Pneumatic Drill,Bosch,1509,297,426,872.3,2.0,270,2,40,3,450.9,13
Multimeter,Fluke,1482,349,127,151.0,1.2,48,2,89,2,448.2,-7
Multimeter,Makita,1316,172,123,572.0,4.7,80,1,20,2,281.6,12
Hydraulic Pump,Bosch,1229,215,81,88.9,1.1,61,1,70,2,272.9,0
Digital Torque Wrench,Facom,1672,46,60,151.5,2.5,37,1,96,5,317.2,84
Multimeter,Makita,1507,187,136,942.1,6.9,99,1,92,2,300.7,16
Hydraulic Pump,Bosch,1605,332,20,40.8,2.0,7,2,81,2,460.5,2
Hydraulic Pump,Makita,61,13,111,338.9,3.1,72,0,17,2,6.1,161
Multimeter,Bosch,414,82,45,349.6,7.8,31,0,30,2,41.4,110
Borescope,Bosch,1022,129,55,367.1,6.7,14,0,1,2,102.2,35
Hydraulic Pump,Makita,1094,162,126,935.4,7.4,90,0,2,2,109.4,-5
Hydraulic Pump,Facom,1484,268,125,806.7,6.5,53,0,84,2,148.4,4
Hydraulic Pump,Bosch,918,36,129,1475.3,11.4,103,0,20,2,91.8,121
Multimeter,Fluke,1139,213,75,185.6,2.5,21,0,29,2,113.9,22
Multimeter,Fluke,825,313,95,383.4,4.0,30,0,51,2,82.5,3
Pneumatic Drill,Snap-on,1821,157,370,2325.8,6.3,113,1,55,3,332.1,10
Hydraulic Pump,Bosch,1237,244,29,133.1,4.6,17,0,13,2,123.7,21
Hydraulic Pump,Makita,611,188,133,998.3,7.5,79,0,38,2,61.1,7
Digital Torque Wrench,Makita,272,285,141,200.6,1.4,70,0,24,5,27.2,1
Borescope,Bosch,1415,297,12,134.9,11.2,7,0,83,2,141.5,13
Digital Torque Wrench,Facom,1399,222,187,553.4,3.0,105,3,12,5,589.9,-1
Hydraulic Pump,Makita,1195,285,52,335.8,6.5,19,1,53,2,269.5,20
Hydraulic Pump,Makita,126,128,140,266.0,1.9,68,0,17,2,12.6,47
Multimeter,Fluke,361,80,108,298.0,2.8,51,0,45,2,36.1,86
Borescope,Fluke,761,91,96,638.8,6.7,33,1,39,2,226.1,64
Pneumatic Drill,Makita,870,337,77,273.2,3.5,32,0,23,3,87.0,-5
Borescope,Snap-on,1518,258,45,515.5,11.5,11,1,78,2,301.8,7
Pneumatic Drill,Bosch,822,282,272,2106.1,7.7,129,1,41,3,232.2,10
Digital Torque Wrench,Fluke,429,331,100,196.0,2.0,27,1,75,5,192.9,-5
Borescope,Makita,1793,356,122,411.4,3.4,97,2,100,2,479.3,-6
Multimeter,Makita,1821,300,56,59.8,1.1,17,1,74,2,332.1,0
Digital Torque Wrench,Fluke,826,74,148,177.9,1.2,58,0,43,5,82.6,104
Digital Torque Wrench,Makita,292,149,55,147.2,2.7,29,0,5,5,29.2,21
Hydraulic Pump,Fluke,1821,44,15,152.2,10.1,3,1,54,2,332.1,111
Digital Torque Wrench,Makita,1582,35,195,506.5,2.6,129,2,98,5,458.2,77
Borescope,Makita,1186,122,86,497.6,5.8,32,2,42,2,418.6,35
Pneumatic Drill,Makita,684,162,175,1240.2,7.1,95,3,54,3,518.4,16
Digital Torque Wrench,Fluke,1659,176,172,99.5,0.6,132,1,3,5,315.9,9
Multimeter,Bosch,859,129,141,354.9,2.5,28,1,41,2,235.9,46
Digital Torque Wrench,Snap-on,838,217,25,52.9,2.1,5,1,42,5,233.8,5
Borescope,Facom,1645,28,84,535.3,6.4,49,1,68,2,314.5,96
Digital Torque Wrench,Makita,1095,214,139,447.8,3.2,55,2,84,5,409.5,11
Pneumatic Drill,Makita,1612,150,158,1231.2,7.8,102,1,32,3,311.2,-2
Multimeter,Fluke,43,10,54,639.3,11.8,32,1,48,2,154.3,125
Pneumatic Drill,Snap-on,641,334,409,2889.9,7.1,321,3,104,3,514.1,20
Borescope,Snap-on,305,41,47,227.9,4.8,27,2,83,2,330.5,112
Pneumatic Drill,Snap-on,889,313,210,1665.2,7.9,153,1,80,3,238.9,-1
Multimeter,Snap-on,1327,289,88,912.5,10.4,45,2,87,2,432.7,6
Digital Torque Wrench,Bosch,216,12,186,576.2,3.1,78,1,77,5,171.6,133
Digital Torque Wrench,Bosch,1573,234,132,433.9,3.3,41,0,41,5,157.3,-6
Digital Torque Wrench,Makita,1763,184,96,117.2,1.2,19,1,4,5,326.3,-1
Multimeter,Facom,991,156,111,527.5,4.8,38,0,79,2,99.1,15
Digital Torque Wrench,Bosch,1179,312,143,459.2,3.2,46,1,58,5,267.9,-2
Pneumatic Drill,Fluke,983,195,469,1718.6,3.7,264,0,70,3,98.3,-8
Borescope,Makita,375,96,58,498.6,8.6,31,0,43,2,37.5,87
Digital Torque Wrench,Facom,1713,152,79,172.9,2.2,25,0,80,5,171.3,10
Borescope,Snap-on,1809,288,131,300.4,2.3,78,3,93,2,630.9,-8
Pneumatic Drill,Snap-on,1308,265,364,2463.2,6.8,152,4,53,3,730.8,11
Hydraulic Pump,Facom,1602,43,49,49.0,1.0,36,1,100,2,310.2,85
Digital Torque Wrench,Snap-on,1685,176,123,342.1,2.8,46,3,41,5,618.5,-2
